/*

《唐史并不如烟》
zh_conversion 用作品特設辭典

*/


// 《唐史并不如烟》	就在“沙家浜”扎下了怎么办？ (~沙家浜<POB>p:在 d:就+p:在+wp:“+ns:沙家浜+wp:”+v:扎+v:下+u:了+r:怎么办+wp:？) 單純 zh_conversion 轉換過程: 浜→濱
在“沙家浜”扎下	在「沙家浜」紮下
// 《唐史并不如烟》	徙倚独沾襟。 (~霑<COO>v:倚 ~霑<role.type:ARGM-ADV>独 ~霑<role.type:A1>襟 v:徙+v:倚+d:独+v:沾+n:襟+wp:。)
徙倚独沾襟	徙倚獨霑襟
// 《唐史并不如烟》	沾襟何所为， (~霑<FOB>v:为 v:沾+n:襟+r:何+u:所+v:为+wp:，)
沾襟何所为	霑襟何所為
// 《唐史并不如烟》	虚生真可愧。 (~媿<COO>n:徒 d:虚+v:生+d:真+v:可+v:愧+wp:。)
虚生真可愧	虛生真可媿
// 《唐史并不如烟》	这一出水淹三军， (~齣水淹三軍<SBV>v:有 r:这+m:一+v:出水淹三军+wp:，) 單純 zh_conversion 轉換過程: 出水→出水 军→軍
一出水淹三军	一齣水淹三軍
// 《唐史并不如烟》	干一者，王字也。 (~干<SBV>n:字 v:干+m:一+u:者+wp:，+nh:王+n:字+u:也+wp:。) 單純 zh_conversion 轉換過程: 干一→幹一
干一者，王字也	干一者，王字也
// 《唐史并不如烟》	他的话就成了一阵风，说完了，刮过了，在李承乾那里没有留下一丝痕迹。 (~颳<COO>v:说 r:他+u:的+n:话+d:就+v:成+u:了+i:一阵风+wp:，+v:说+v:完+u:了+wp:，+v:刮+u:过+u:了+wp:，+p:在+nh:李承乾+r:那里+d:没有+v:留下+m:一+q:丝+n:痕迹+wp:。) 單純 zh_conversion轉換過程: 刮过→刮過
风，说完了，刮过了	風，說完了，颳過了
// 《唐史并不如烟》	然而这样的金玉良言在李承乾那里还是风字辈的，刮过了，天空了无痕 (~颳<COO>v:是 c:然而+r:这样+u:的+i:金玉良言+p:在+nh:李承乾+r:那里+v:还+v:是+n:风字辈+u:的+wp:，+v:刮+u:过+u:了+wp:，+n:天空+v:了+v:无+n:痕) 單純 zh_conversion 轉換過程: 刮过→刮過
风字辈的，刮过了	風字輩的，颳過了
