/*

記錄同義詞。
建議正字正詞	也作	俗寫	相通字	異體字	異體詞


轉換成詞組中任何一詞都不算錯誤。

有時原文採用了非正式但可接受的詞彙，就得要記錄在本檔案中。

*/


// 周 週
// http://blog.udn.com/chhsia1113/16656484
// 《文書處理手冊》「週」僅用在「星期」week
// "周期"→"週期" (錯誤轉換為 "周期"):
周期	週期
// "周期性"→"週期性" (錯誤轉換為 "周期性"):
周期性	週期性
// "周末"→"周末" (錯誤轉換為 "週末"):
週末	周末
// "周刊"→"周刊" (錯誤轉換為 "週刊"):
週刊	周刊


// "注"→"註" (錯誤轉換為 "注"):
注	註
// "注定"→"註定" (錯誤轉換為 "注定"):
注定	註定
// "标注"→"標註" (錯誤轉換為 "標注"):
標注	標註
// "注脚"→"註腳" (錯誤轉換為 "注腳"):
注腳	註腳


// 已經不言自明瞭。
// "了"→"瞭" (錯誤轉換為 "了"):
	瞭	了
// "了解"→"瞭解" (錯誤轉換為 "了解"):
	瞭解	了解


// 作動詞時常用「欲」，作名詞時則用「慾」。生理衝動與需求用「慾」
// "欲"→"慾" (錯誤轉換為 "欲"):
	欲	慾
// "食欲"→"食欲" (錯誤轉換為 "食慾"):
食慾	食欲
// "情欲"→"情欲" (錯誤轉換為 "情慾"):
情慾	情欲
// "贪欲"→"貪欲" (錯誤轉換為 "貪慾"):
貪慾	貪欲
// "嗜欲"→"嗜欲" (錯誤轉換為 "嗜慾"):
嗜慾	嗜欲
// "欲望"→"欲望" (錯誤轉換為 "慾望"):
	欲望	慾望
// "欲念"→"欲念" (錯誤轉換為 "慾念"):
	欲念	慾念
// "私欲"→"私欲" (錯誤轉換為 "私慾"):
	私欲	私慾
// "物欲所役"→"物欲所役" (錯誤轉換為 "物慾所役"):
物慾所役	物欲所役


// "奏折"→"奏折" (錯誤轉換為 "奏摺"):
奏摺	奏折


// 法律統一用字表 名詞用「雇」動詞用「僱」
// "雇佣"→"雇傭" (錯誤轉換為 "僱傭"): 也作「雇傭」、「雇佣」。
僱傭	雇傭	雇佣
// "雇用"→"雇用" (錯誤轉換為 "僱用"):
僱用	雇用
聘僱	聘雇
雇員	僱員
雇主	僱主
雇工	僱工
雇者	僱者


// "身份"→"身份" (錯誤轉換為 "身分"):
身分	身份


// "升迁"→"陞遷" (錯誤轉換為 "升遷"):
升遷	陞遷
// "升空"→"昇空" (錯誤轉換為 "升空"):
升空	昇空
// "直升机"→"直昇機" (錯誤轉換為 "直升機"):
直升機	直昇機
// "上升"→"上昇" (錯誤轉換為 "上升"):
上升	上昇
// "升到"→"昇到" (錯誤轉換為 "升到"):
升到	昇到
// "升入"→"昇入" (錯誤轉換為 "升入"):
升入	昇入
// "飞升"→"飛升" (錯誤轉換為 "飛昇"):
飛昇	飛升


// "拼命"→"拼命" (錯誤轉換為 "拚命"):
拚命	拼命


// "感叹"→"感歎" (錯誤轉換為 "感嘆"):
感嘆	感歎


// 《爾雅·釋天》「穀不熟為饑 蔬不熟為饉 果不熟為荒 仍饑為薦」兩年饑年就稱為「薦」。
// 《說文解字．食部》：「飢，餓也。」
// "饥荒"→"飢荒" (錯誤轉換為 "饑荒"):
饑荒	飢荒
飢腸轆轆	饑腸轆轆
飢寒交迫	饑寒交迫


// 法律統一用字表 名詞用「畫」，例…計畫、…企畫書。動詞用「劃」，例請規劃辦理…、策劃成立…
計畫	計劃
計畫案	計劃案
計畫經濟	計劃經濟
計畫生育	計劃生育
企畫	企劃
企畫書	企劃書
策劃	策畫
規劃	規畫
擘劃	擘畫
// "筹划"→"籌畫" (錯誤轉換為 "籌劃"):
籌劃	籌畫


// "发签"→"發簽" (錯誤轉換為 "發籤"):
發籤	發簽
// "竹签"→"竹簽" (錯誤轉換為 "竹籤"):
竹籤	竹簽
// "竹签当政"→"竹簽當政" (錯誤轉換為 "竹籤當政"):
竹籤當政	竹簽當政
// "掣签法"→"掣簽法" (錯誤轉換為 "掣籤法"):
掣籤法	掣簽法


// https://dict.variants.moe.edu.tw/variants/rbt/word_attribute.rbt?educode=a00323
// 「凶」本義為惡，故如「凶惡」、「凶年」、「凶人」等詞，宜用「凶」。《說文解字》云：「兇，擾恐也。从人在凶下。」故「兇」本為驚擾、恐懼不安之義，今用多同「凶」，當為假借。
// 「兇」有恐懼害怕之義（曹人兇懼），假借了「凶」之殘忍粗暴意涵。
/兇/凶/g


// "游刃有余"→"遊刃有餘" (錯誤轉換為 "游刃有餘"):
遊刃有餘	游刃有餘


// "吊诡"→"吊詭" (錯誤轉換為 "弔詭"):
弔詭	吊詭


// "收获"→"收獲" (錯誤轉換為 "收穫"):
收穫	收獲
// "刈获"→"刈穫" (錯誤轉換為 "刈獲"):
刈獲	刈穫

// "秘密"→"秘密" (錯誤轉換為 "祕密"):
祕密	秘密
// "神秘"→"神秘" (錯誤轉換為 "神祕"):
神祕	神秘
// "奥秘"→"奧秘" (錯誤轉換為 "奧祕"):
奧祕	奧秘
// "隐秘"→"隱秘" (錯誤轉換為 "隱祕"):
隱祕	隱秘
// "秘书"→"秘書" (錯誤轉換為 "祕書"):
祕書	秘書
// "秘书长"→"秘書長" (錯誤轉換為 "祕書長"):
祕書長	秘書長
// "秘书处"→"秘書處" (錯誤轉換為 "祕書處"):
祕書處	秘書處
// "秘传"→"秘傳" (錯誤轉換為 "祕傳"):
祕傳	秘傳
// "探秘"→"探秘" (錯誤轉換為 "探祕"):
探祕	探秘
// "暗秘"→"暗秘" (錯誤轉換為 "暗祕"):
暗祕	暗秘


// https://ctext.org/dictionary.pl?if=gb&char=%E9%96%A7
// "哄堂"→"哄堂" (錯誤轉換為 "鬨堂"):
鬨堂	閧堂	哄堂
// "哄堂塞署"→"哄堂塞署" (錯誤轉換為 "鬨堂塞署"):
鬨堂塞署	閧堂塞署	哄堂塞署


// "吸烟"→"吸煙" (錯誤轉換為 "吸菸"):
吸菸	吸煙
// "抽烟"→"抽煙" (錯誤轉換為 "抽菸"):
抽菸	抽煙
// "烟草"→"煙草" (錯誤轉換為 "菸草"):
菸草	煙草
香菸	香煙
菸槍	煙槍


// "意向"→"意嚮" (錯誤轉換為 "意向"):
//意向	意嚮


// 法律統一用字表
// 根據《說文》的解釋，「牴」是「觸」也，「牴」是「推」也，因此「牴觸」用「牴」字，正是它的原義。
// "抵触"→"抵觸" (錯誤轉換為 "牴觸"):
牴觸	抵觸


// "幸运"→"倖運" (錯誤轉換為 "幸運"):
幸運	倖運


// "锻炼"→"鍛煉" (錯誤轉換為 "鍛鍊"):
鍛鍊	鍛煉
// "烧炼"→"燒鍊" (錯誤轉換為 "燒煉"):
燒煉	燒鍊


// "炸毁"→"炸毀" (錯誤轉換為 "炸燬"):
炸燬	炸毀

// https://chardb.iis.sinica.edu.tw/char/22479
// "诋毁"→"詆譭" (錯誤轉換為 "詆毀"):
詆毀	詆譭


// "七弦琴"→"七弦琴" (錯誤轉換為 "七絃琴"):
//七弦琴	七絃琴

// "厘"→"厘" (錯誤轉換為 "釐"):
釐	厘
